"","YoB","MUN","REG","AGE"
"1",1964,"КИСЕЛА ВОДА","Скопје",52
"2",1965,"ГАЗИ БАБА","Скопје",51
"3",1983,"БРВЕНИЦА","Полошки",33
"4",1992,"ТЕТОВО","Полошки",24
"5",1979,"ГАЗИ БАБА","Скопје",37
"6",1979,"ГОСТИВАР","Полошки",37
"7",1972,"ТЕАРЦЕ","Полошки",44
"8",1978,"ЧАИР","Скопје",38
"9",1982,"ГОСТИВАР","Полошки",34
"10",1944,"ШУТО ОРИЗАРИ","Скопје",72
"11",1946,"КУМАНОВО","Североисточен",70
"12",1948,"КИСЕЛА ВОДА","Скопје",68
"13",1993,"НОВО СЕЛО","Југоисточен",23
"14",1997,"ЖЕЛИНО","Полошки",19
"15",1980,"САРАЈ","Скопје",36
"16",1980,"ГОСТИВАР","Полошки",36
"17",1981,"БОГОВИЊЕ","Полошки",35
"18",1982,"ЖЕЛИНО","Полошки",34
"19",1970,"СТУДЕНИЧАНИ","Скопски",46
"20",1970,"СТУДЕНИЧАНИ","Скопски",46
"21",1970,"ШУТО ОРИЗАРИ","Скопје",46
"22",1971,"ТЕТОВО","Полошки",45
"23",1976,"АЕРОДРОМ","Скопје",40
"24",1928,"ГОСТИВАР","Полошки",88
"25",1930,"САРАЈ","Скопје",86
"26",1931,"САРАЈ","Скопје",85
"27",1936,"САРАЈ","Скопје",80
"28",1937,"ЧАИР","Скопје",79
"29",1941,"ЈЕГУНОВЦЕ","Полошки",75
"30",1972,"САРАЈ","Скопје",44
"31",1974,"КИЧЕВО","Југозападен",42
"32",1954,"КИЧЕВО","Југозападен",62
"33",1957,"САРАЈ","Скопје",59
"34",1957,"ЖЕЛИНО","Полошки",59
"35",1985,"ТЕАРЦЕ","Полошки",31
"36",1990,"КУМАНОВО","Североисточен",26
"37",1965,"ШУТО ОРИЗАРИ","Скопје",51
"38",1965,"ЧАИР","Скопје",51
"39",1983,"ТЕТОВО","Полошки",33
"40",1992,"ЦЕНТАР","Скопје",24
"41",1979,"ЧАИР","Скопје",37
"42",1972,"СТРУМИЦА","Југоисточен",44
"43",1972,"ЈЕГУНОВЦЕ","Полошки",44
"44",1992,"ГОСТИВАР","Полошки",24
"45",1943,"САРАЈ","Скопје",73
"46",1945,"СТРУМИЦА","Југоисточен",71
"47",1945,"ЧАИР","Скопје",71
"48",1945,"САРАЈ","Скопје",71
"49",1975,"БУТЕЛ","Скопје",41
"50",1996,"СТУДЕНИЧАНИ","Скопски",20
"51",1998,"КАРПОШ","Скопје",18
"52",1998,"САРАЈ","Скопје",18
"53",1978,"ГОСТИВАР","Полошки",38
"54",1987,"БИТОЛА","Пелагониски",29
"55",1990,"ТЕТОВО","Полошки",26
"56",1991,"КУМАНОВО","Североисточен",25
"57",1991,"ГОСТИВАР","Полошки",25
"58",1993,"КАРПОШ","Скопје",23
"59",1993,"САРАЈ","Скопје",23
"60",1943,"ГАЗИ БАБА","Скопје",73
"61",1995,"НОВАЦИ","Пелагониски",21
"62",1994,"ГОСТИВАР","Полошки",22
"63",1995,"КИЧЕВО","Југозападен",21
"64",1978,"БОГОВИЊЕ","Полошки",38
"65",1989,"ЧАИР","Скопје",27
"66",1989,"ТЕТОВО","Полошки",27
"67",1966,"ЈЕГУНОВЦЕ","Полошки",50
"68",1967,"ТЕАРЦЕ","Полошки",49
"69",1932,"БИТОЛА","Пелагониски",84
"70",1935,"СТУДЕНИЧАНИ","Скопски",81
"71",1972,"СТУДЕНИЧАНИ","Скопски",44
"72",1965,"СТРУГА","Југозападен",51
"73",1984,"БОГОВИЊЕ","Полошки",32
"74",1979,"БУТЕЛ","Скопје",37
"75",1979,"ГАЗИ БАБА","Скопје",37
"76",1972,"ТЕТОВО","Полошки",44
"77",1983,"ЧАИР","Скопје",33
"78",1984,"КУМАНОВО","Североисточен",32
"79",1992,"КУМАНОВО","Североисточен",24
"80",1984,"ГАЗИ БАБА","Скопје",32
"81",1943,"БИТОЛА","Пелагониски",73
"82",1975,"ГОСТИВАР","Полошки",41
"83",1975,"КИСЕЛА ВОДА","Скопје",41
"84",1994,"ГОСТИВАР","Полошки",22
"85",1997,"ГАЗИ БАБА","Скопје",19
"86",1998,"ШУТО ОРИЗАРИ","Скопје",18
"87",1978,"БОГОВИЊЕ","Полошки",38
"88",1930,"КИСЕЛА ВОДА","Скопје",86
"89",1933,"ЛИПКОВО","Североисточен",83
"90",1940,"САРАЈ","Скопје",76
"91",1940,"ВРАПЧИШТЕ","Полошки",76
"92",1941,"САРАЈ","Скопје",75
"93",1942,"БУТЕЛ","Скопје",74
"94",1941,"ТЕТОВО","Полошки",75
"95",1971,"ГОСТИВАР","Полошки",45
"96",1972,"ЧАИР","Скопје",44
"97",1972,"ШУТО ОРИЗАРИ","Скопје",44
"98",1972,"ЖЕЛИНО","Полошки",44
"99",1972,"ТЕАРЦЕ","Полошки",44
"100",1972,"ВРАПЧИШТЕ","Полошки",44
"101",1973,"ГАЗИ БАБА","Скопје",43
"102",1973,"САРАЈ","Скопје",43
"103",1974,"СТУДЕНИЧАНИ","Скопски",42
"104",1974,"КИСЕЛА ВОДА","Скопје",42
"105",1974,"СТУДЕНИЧАНИ","Скопски",42
"106",1974,"ЈЕГУНОВЦЕ","Полошки",42
"107",1974,"ГОСТИВАР","Полошки",42
"108",1994,"ШУТО ОРИЗАРИ","Скопје",22
"109",1992,"ТЕТОВО","Полошки",24
"110",1993,"ЧАИР","Скопје",23
"111",1944,"ЛИПКОВО","Североисточен",72
"112",1994,"ЖЕЛИНО","Полошки",22
"113",1988,"ЧАИР","Скопје",28
"114",1970,"ПРИЛЕП","Пелагониски",46
"115",1970,"ШУТО ОРИЗАРИ","Скопје",46
"116",1967,"ТЕТОВО","Полошки",49
"117",1969,"ЃОРЧЕ ПЕТРОВ","Скопје",47
"118",1960,"КИЧЕВО","Југозападен",56
"119",1977,"ГОСТИВАР","Полошки",39
"120",1951,"КОЧАНИ","Источен",65
"121",1975,"ЖЕЛИНО","Полошки",41
"122",1976,"КИСЕЛА ВОДА","Скопје",40
"123",1977,"АЕРОДРОМ","Скопје",39
"124",1983,"ШУТО ОРИЗАРИ","Скопје",33
"125",1963,"ДЕБАР","Југозападен",53
"126",1978,"БИТОЛА","Пелагониски",38
"127",1978,"КУМАНОВО","Североисточен",38
"128",1997,"ДЕБАР","Југозападен",19
"129",1967,"ЧАИР","Скопје",49
"130",1968,"ЧАИР","Скопје",48
"131",1968,"САРАЈ","Скопје",48
"132",1968,"БРВЕНИЦА","Полошки",48
"133",1969,"САРАЈ","Скопје",47
"134",1954,"КУМАНОВО","Североисточен",62
"135",1954,"ПРИЛЕП","Пелагониски",62
"136",1973,"ТЕТОВО","Полошки",43
"137",1938,"КАРПОШ","Скопје",78
"138",1945,"ГОСТИВАР","Полошки",71
"139",1962,"ТЕАРЦЕ","Полошки",54
"140",1963,"ТЕТОВО","Полошки",53
"141",1953,"БУТЕЛ","Скопје",63
"142",1998,"ГАЗИ БАБА","Скопје",18
"143",1965,"ШТИП","Источен",51
"144",1973,"ЧАИР","Скопје",43
"145",1973,"ТЕТОВО","Полошки",43
"146",1973,"ГОСТИВАР","Полошки",43
"147",1974,"САРАЈ","Скопје",42
"148",1957,"ПРИЛЕП","Пелагониски",59
"149",1957,"ЧАИР","Скопје",59
"150",1962,"ГОСТИВАР","Полошки",54
"151",1963,"КУМАНОВО","Североисточен",53
"152",1980,"ТЕТОВО","Полошки",36
"153",1981,"ТЕТОВО","Полошки",35
"154",1981,"БУТЕЛ","Скопје",35
"155",1970,"ШУТО ОРИЗАРИ","Скопје",46
"156",1977,"ТЕТОВО","Полошки",39
"157",1951,"РЕСЕН","Пелагониски",65
"158",1975,"АРАЧИНОВО","Скопски",41
"159",1976,"КУМАНОВО","Североисточен",40
"160",1998,"ПРИЛЕП","Пелагониски",18
"161",1979,"ЧАИР","Скопје",37
"162",1981,"ГАЗИ БАБА","Скопје",35
"163",1967,"ЗЕЛЕНИКОВО","Скопски",49
"164",1968,"КИЧЕВО","Југозападен",48
"165",1968,"КИЧЕВО","Југозападен",48
"166",1969,"ЧАИР","Скопје",47
"167",1969,"ЧАИР","Скопје",47
"168",1969,"БУТЕЛ","Скопје",47
"169",1987,"ГАЗИ БАБА","Скопје",29
"170",1987,"ТЕТОВО","Полошки",29
"171",1969,"КАРПОШ","Скопје",47
"172",1969,"ШУТО ОРИЗАРИ","Скопје",47
"173",1969,"БОГОВИЊЕ","Полошки",47
"174",1970,"САРАЈ","Скопје",46
"175",1960,"КИСЕЛА ВОДА","Скопје",56
"176",1960,"СВЕТИ НИКОЛЕ","Вардарски",56
"177",1981,"ЧАИР","Скопје",35
"178",1982,"ЧАИР","Скопје",34
"179",1948,"АРАЧИНОВО","Скопски",68
"180",1954,"ГАЗИ БАБА","Скопје",62
"181",1954,"ГОСТИВАР","Полошки",62
"182",1955,"КАРПОШ","Скопје",61
"183",1955,"БУТЕЛ","Скопје",61
"184",1980,"ЈЕГУНОВЦЕ","Полошки",36
"185",1980,"ТЕТОВО","Полошки",36
"186",1980,"ТЕТОВО","Полошки",36
"187",1980,"МАВРОВО И РОСТУША","Полошки",36
"188",1971,"ЛИПКОВО","Североисточен",45
"189",1977,"ТЕТОВО","Полошки",39
"190",1989,"САРАЈ","Скопје",27
"191",1989,"ТЕТОВО","Полошки",27
"192",1969,"ГОСТИВАР","Полошки",47
"193",1970,"ШУТО ОРИЗАРИ","Скопје",46
"194",1970,"САРАЈ","Скопје",46
"195",1967,"ЧАИР","Скопје",49
"196",1967,"КАРПОШ","Скопје",49
"197",1967,"ЧАИР","Скопје",49
"198",1994,"САРАЈ","Скопје",22
"199",1944,"ЧАИР","Скопје",72
"200",1971,"КАРПОШ","Скопје",45
