YoB,MUN
1964,КИСЕЛА ВОДА
1965,ГАЗИ БАБА
1983,БРВЕНИЦА
1992,ТЕТОВО
1979,ГАЗИ БАБА
1979,ГОСТИВАР
1972,ТЕАРЦЕ
1978,ЧАИР
1982,ГОСТИВАР
1944,ШУТО ОРИЗАРИ
1946,КУМАНОВО
1948,КИСЕЛА ВОДА
1993,НОВО СЕЛО
1997,ЖЕЛИНО
1980,САРАЈ
1980,ГОСТИВАР
1981,БОГОВИЊЕ
1982,ЖЕЛИНО
1970,СТУДЕНИЧАНИ
1970,СТУДЕНИЧАНИ
1970,ШУТО ОРИЗАРИ
1971,ТЕТОВО
1976,АЕРОДРОМ
1928,ГОСТИВАР
1930,САРАЈ
1931,САРАЈ
1936,САРАЈ
1937,ЧАИР
1941,ЈЕГУНОВЦЕ
1972,САРАЈ
1974,КИЧЕВО
1954,КИЧЕВО
1957,САРАЈ
1957,ЖЕЛИНО
1985,ТЕАРЦЕ
1990,КУМАНОВО
1965,ШУТО ОРИЗАРИ
1965,ЧАИР
1983,ТЕТОВО
1992,ЦЕНТАР
1979,ЧАИР
1972,СТРУМИЦА
1972,ЈЕГУНОВЦЕ
1992,ГОСТИВАР
1993,ЧУЧЕР - САНДЕВО
1943,САРАЈ
1945,СТРУМИЦА
1945,ЧАИР
1945,САРАЈ
1975,БУТЕЛ
1996,СТУДЕНИЧАНИ
1998,КАРПОШ
1998,САРАЈ
1978,ГОСТИВАР
1987,БИТОЛА
1990,ТЕТОВО
1991,КУМАНОВО
1991,ГОСТИВАР
1993,КАРПОШ
1993,САРАЈ
1943,ГАЗИ БАБА
1995,НОВАЦИ
1994,ГОСТИВАР
1995,КИЧЕВО
1978,БОГОВИЊЕ
1989,ЧАИР
1989,ТЕТОВО
1966,ЈЕГУНОВЦЕ
1967,ТЕАРЦЕ
1932,БИТОЛА
1935,СТУДЕНИЧАНИ
1972,СТУДЕНИЧАНИ
1965,СТРУГА
1984,БОГОВИЊЕ
1979,БУТЕЛ
1979,ГАЗИ БАБА
1972,ТЕТОВО
1983,ЧАИР
1984,КУМАНОВО
1992,КУМАНОВО
1984,ГАЗИ БАБА
1943,БИТОЛА
1975,ГОСТИВАР
1975,КИСЕЛА ВОДА
1994,ГОСТИВАР
1997,ГАЗИ БАБА
1998,ШУТО ОРИЗАРИ
1978,БОГОВИЊЕ
1930,КИСЕЛА ВОДА
1933,ЛИПКОВО
1940,САРАЈ
1940,ВРАПЧИШТЕ
1941,САРАЈ
1942,БУТЕЛ
1941,ТЕТОВО
1971,ГОСТИВАР
1972,ЧАИР
1972,ШУТО ОРИЗАРИ
1972,ЖЕЛИНО
1972,ТЕАРЦЕ
1972,ВРАПЧИШТЕ
1973,ГАЗИ БАБА
1973,САРАЈ
1974,СТУДЕНИЧАНИ
1974,КИСЕЛА ВОДА
1974,СТУДЕНИЧАНИ
1974,ЈЕГУНОВЦЕ
1974,ГОСТИВАР
1994,ШУТО ОРИЗАРИ
1992,ТЕТОВО
1993,ЧАИР
1944,ЛИПКОВО
1994,ЖЕЛИНО
